date,median,lower,upper,observed
2021-02-23,447.8576577277247,364.8170724922414,536.1907232962733,423
2021-02-24,432.1163951768734,347.209427200435,517.5202746641316,405
2021-02-25,418.74530190372485,330.7935002725261,504.218762167789,381
2021-02-26,403.8910025047226,319.9416672988094,486.9174621190944,356
2021-02-27,391.92312316892185,304.78101108547537,477.074887119801,364
2021-02-28,379.2077013350186,289.0215434087943,464.33495532634265,372
2021-03-01,367.59599370757985,280.43966954357484,450.1807561390717,367
2021-03-02,355.27226388482256,268.12983888773954,441.7356615583247,339
2021-03-03,344.19473531755835,258.31302323647986,429.3142507566249,323
2021-03-04,334.7826298586887,249.8725718669364,418.653779158831,312
2021-03-05,323.9792332219078,235.54295495501108,408.43432580444113,322
2021-03-06,314.85108148852464,231.85961109992672,399.74703713992545,316
2021-03-07,306.3195569344813,223.26873173391175,390.1074209773138,329
2021-03-08,296.1745768240763,210.7963030234973,381.0924884360098,310
2021-03-09,287.65130581403645,206.21041832842522,373.7899057407927,301
2021-03-10,281.38394619886924,195.71009129288944,367.0376253912383,287
2021-03-11,274.29275914211945,189.029450918036,358.8860509717646,286
2021-03-12,264.1929765185471,180.01651360625064,351.85442795100204,265
2021-03-13,259.97192096831986,173.8684398743728,345.1586770133555,276
2021-03-14,253.6913726938346,169.59666636172523,336.93460214825643,286
2021-03-15,247.92994647929333,163.97636622179903,333.8695234183839,279
2021-03-16,241.001420181998,156.24275043199984,326.43998014954894,262
2021-03-17,237.97066407821742,153.3138377901145,321.7903243207926,249
2021-03-18,233.2617280422375,149.8859517269184,318.72128049244424,255
2021-03-19,229.41233567131366,141.63891025026405,315.5017788081972,243
2021-03-20,226.4712351686353,143.79800871238947,310.7824861660318,251
2021-03-21,221.29294033361907,134.78387612315586,306.44487514544295,252
2021-03-22,218.84751635774174,132.4132441163673,302.0510938775254,270
2021-03-23,215.64503466411878,132.5902056465289,299.27955073595973,276
2021-03-24,213.6034394934002,129.56065834229355,299.9943694859816,269
2021-03-25,212.16655981677394,126.70436621618514,297.2006135902052,271
2021-03-26,213.3884140042205,127.4582117436448,296.1174227473518,244
2021-03-27,212.1808540869953,130.00750643213894,297.1380557361752,252
2021-03-28,210.77097873789512,123.23900343526313,293.82213412893805,263
2021-03-29,210.36031125851974,126.40473587735691,293.6292648806831,268
2021-03-30,210.63371692008755,126.72139108614697,294.65377017779053,282
2021-03-31,211.66134277343156,128.15868460967235,296.54507342514324,277
2021-04-01,213.50953066498602,132.1661528924434,298.3728172518097,277
2021-04-02,215.75689085904025,129.60657207765954,298.2385481342446,294
2021-04-03,217.16519615239477,134.97790160845415,302.4680315560958,294
2021-04-04,220.67996781672048,135.87400741513815,303.8712214296027,325
2021-04-05,222.11773508444475,141.2273118224386,305.9033434450084,309
2021-04-06,227.70374245902042,139.74587733719255,310.63925995401274,298
2021-04-07,230.54309054566625,149.24968903977984,313.0379631494661,307
2021-04-08,236.8324471075959,152.55159431593344,321.06901175380517,300
2021-04-09,242.85888982594497,157.0958722301738,326.94423612888977,283
2021-04-10,247.07864114405658,161.60597700874177,332.8860467565769,295
2021-04-11,251.23247598837997,167.20174739037836,335.75519238472117,319
2021-04-12,255.70577738620977,170.43997320361532,340.0782328092061,334
2021-04-13,259.7347695496775,179.2983195690924,343.28908588059943,339
2021-04-14,264.5792298556901,181.70443317492993,349.32885344181017,353
2021-04-15,269.4944512303402,183.22750791436312,353.202106212428,339
2021-04-16,275.89037087488794,196.23561733352085,359.3520312480276,343
2021-04-17,280.48063422220184,197.32143956511592,365.3184348890644,361
2021-04-18,283.8167658359861,201.06585030129096,367.03954310638653,391
2021-04-19,287.36558300446256,201.47739438218755,370.49249544208084,377
2021-04-20,288.93877505628086,207.83190984780387,370.18077740693576,370
2021-04-21,293.85648308259874,210.22922351126164,376.12945918071176,384
2021-04-22,295.81038557730614,212.29608329405994,378.01403470531886,368
2021-04-23,300.37253263577304,216.51049251593864,385.13253491929106,378
2021-04-24,305.96863154882294,223.16525466850578,391.191243284898,388
2021-04-25,307.73939660429033,224.73109703992358,392.7004177025882,399
2021-04-26,309.76615513519835,226.25003752127347,394.5250161537688,391
2021-04-27,314.67981558949634,229.03208359466225,399.2963953950105,379
2021-04-28,318.81284923266253,234.38389819721124,402.432061282883,365
2021-04-29,324.4203556025812,240.1319265364647,407.7649827161293,368
2021-04-30,327.33637116622697,243.89575429984177,411.6350980209932,360
2021-05-01,331.3735562846258,248.22888694542374,414.4350660426,380
2021-05-02,333.8768080925917,251.5824014059309,417.973962167515,388
2021-05-03,334.35430343074677,252.5125735593137,415.70061451324614,373
2021-05-04,336.91071133246055,253.7580772854495,418.80660867101295,368
2021-05-05,335.6453532692419,252.54273846433375,419.3844216956181,382
2021-05-06,335.6118388228399,253.49639303822943,419.9076625444653,378
